class,spec,hero_cluster,bosses,total_n,avg_cv,avg_median_to_top,score_cv,score_mtt,ease_score,n_with_pi,n_without_pi,median_with_pi,median_without_pi,uplift_pct
Death Knight,Frost,0,2,32,0.053112517263265976,0.8861688710518332,0.8114651638353272,0.6526182992028765,0.7320417315191019,,,,,
Death Knight,Unholy,0,6,214,0.06935635879232124,0.8935920077320499,0.6969867832183065,0.7004545156230683,0.6987206494206875,43.0,180.0,107214.0,106320.0,0.84
Death Knight,Unholy,1,5,183,0.05205129284270217,0.8783596705498932,0.8189441368922901,0.6022942082730887,0.7106191725826894,49.0,148.0,104981.0,105317.0,-0.32
Demon Hunter,Devourer,0,6,277,0.05204778385157577,0.8693384643087825,0.8189688664872589,0.5441597035870784,0.6815642850371686,92.0,185.0,133406.0,136355.0,-2.16
Demon Hunter,Devourer,1,6,294,0.05799808338875266,0.854276608195164,0.777034164404393,0.447098011235241,0.612066087819817,106.0,195.0,138013.0,136533.0,1.08
Demon Hunter,Havoc,0,4,176,0.06443639641677684,0.8545219217600336,0.7316601900255293,0.4486788621996566,0.590169526112593,26.0,155.0,102762.0,105655.0,-2.74
Druid,Balance,0,4,324,0.05666639565446306,0.8503062011394741,0.786419226123712,0.42151189321340565,0.6039655596685588,47.0,283.0,111031.0,110355.0,0.61
Druid,Balance,1,6,183,0.12591327575103275,0.7948063340526302,0.29840223321862636,0.06385935795379442,0.1811307955862104,21.0,163.0,126047.0,138052.0,-8.7
Druid,Feral,0,2,75,0.07220088852477402,0.8351907056834924,0.6769399761372539,0.3241045379295137,0.5005222570333838,19.0,80.0,108861.0,99578.0,9.32
Evoker,Augmentation,0,6,334,0.054836649824636714,0.8603553680872302,0.7993143494333427,0.486270787689462,0.6427925685614023,,,,,
Evoker,Augmentation,1,3,192,0.05161047442687455,0.8544440984825972,0.8220508021660089,0.4481773530260616,0.6351140775960352,,,,,
Evoker,Devastation,0,4,81,0.08469226224355059,0.8699461841132531,0.5889070910312441,0.5480759747460037,0.5684915328886239,13.0,77.0,107105.0,106316.0,0.74
Evoker,Devastation,1,4,95,0.14180224620376258,0.784896755539188,0.18642480448991905,0.0,0.09321240224495952,17.0,92.0,100463.0,107693.0,-6.71
Hunter,Beast Mastery,0,5,257,0.040012633043484756,0.8967528537856416,0.903786523229815,0.7208236563790897,0.8123050898044524,69.0,192.0,104169.0,103497.0,0.65
Hunter,Beast Mastery,1,3,186,0.06529335002558162,0.8582265770691823,0.725620814350483,0.472552421419298,0.5990866178848905,49.0,154.0,108005.0,109435.0,-1.31
Hunter,Marksmanship,0,2,122,0.08623614876187548,0.8404657440580507,0.5780265595905656,0.3580979679552182,0.4680622637728919,55.0,91.0,143627.0,138427.0,3.76
Hunter,Marksmanship,1,5,200,0.05549532035942562,0.8763822128189152,0.7946723725925869,0.5895510647670629,0.6921117186798249,65.0,148.0,104787.0,100072.0,4.71
Hunter,Survival,0,5,285,0.08081934747986641,0.8304013840394672,0.6162014357600616,0.29324116621226143,0.4547213009861615,69.0,231.0,120880.0,118302.0,2.18
Hunter,Survival,1,3,124,0.05613837965082178,0.8364781357495652,0.7901404159006872,0.33240100152968566,0.5612707087151865,31.0,111.0,102318.0,103652.0,-1.29
Mage,Frost,0,6,457,0.039143820065369206,0.8958904123155579,0.9099094777425031,0.7152659065234762,0.8125876921329896,40.0,425.0,120290.0,121450.0,-0.96
Mage,Frost,1,4,79,0.026360479150403248,0.9400749288088333,1.0,1.0,1.0,,,,,
Monk,Windwalker,0,4,287,0.09770344893577076,0.7912117494243822,0.4972108269568355,0.040695116794685696,0.2689529718757606,188.0,109.0,117986.0,112775.0,4.62
Monk,Windwalker,1,3,134,0.05149996673290812,0.8674291928428599,0.8228296045095537,0.5318559663687976,0.6773427854391756,82.0,67.0,103091.0,101658.0,1.41
Paladin,Retribution,0,3,222,0.04985647892493503,0.829788663812919,0.8344120754714899,0.2892926713070957,0.5618523733892928,46.0,195.0,113036.0,110997.0,1.84
Paladin,Retribution,1,4,274,0.06100248571220332,0.8377887284432854,0.7558606561492525,0.3408467298567159,0.5483536930029842,30.0,246.0,115464.0,122160.0,-5.48
Priest,Shadow,0,5,331,0.08453794560358857,0.8244257868458472,0.5899946366720651,0.2547331913617233,0.4223639140168942,,,,,
Priest,Shadow,1,6,178,0.07816599159078047,0.8636168466805874,0.6349009462693136,0.5072884251872938,0.5710946857283037,,,,,
Rogue,Assassination,0,3,125,0.05057248242470975,0.8950503621312915,0.8293660448866854,0.7098524507096444,0.7696092477981649,,,,,
Rogue,Outlaw,1,2,33,0.0958669560628706,0.8744932669706774,0.5101535000140835,0.5773783100011243,0.5437659050076039,,,,,
Rogue,Subtlety,0,5,315,0.05000538015228326,0.8775699889574952,0.833362694920207,0.5972053380037768,0.7152840164619919,10.0,314.0,105654.0,106967.0,-1.23
Rogue,Subtlety,1,5,176,0.09497331373658491,0.8709908246803143,0.5164514392165207,0.5548078529802318,0.5356296460983763,10.0,170.0,108671.0,111964.0,-2.94
Shaman,Elemental,0,5,277,0.07200571826317813,0.8078811643863413,0.6783154374437517,0.1481162483283935,0.4132158428860726,94.0,197.0,112955.0,112297.0,0.59
Shaman,Elemental,1,5,211,0.06265148755809141,0.8455600944176455,0.7442393250365298,0.39092700732496594,0.5675831661807479,73.0,150.0,114121.0,112010.0,1.88
Shaman,Enhancement,0,4,152,0.05958505633218386,0.8585946936475741,0.7658499816282884,0.4749246402090643,0.6203873109186764,22.0,146.0,106867.0,104055.0,2.7
Shaman,Enhancement,1,4,102,0.10272634135861174,0.81870787238336,0.46181202122779563,0.21788577692186176,0.3398488990748287,24.0,89.0,108410.0,107535.0,0.81
Warlock,Demonology,0,5,459,0.05065593785345237,0.8549799849408949,0.828777893228159,0.45163071535793115,0.6402043042930451,141.0,330.0,126101.0,127097.0,-0.78
Warlock,Destruction,0,2,114,0.056496316691249306,0.8633812854655194,0.7876178566478345,0.5057704203667406,0.6466941385072875,34.0,119.0,104486.0,107297.0,-2.62
Warlock,Destruction,1,3,64,0.09433660054419532,0.8552406731958697,0.5209386718118323,0.4533106439811522,0.48712465789649223,21.0,47.0,118937.0,109491.0,8.63
Warrior,Arms,0,2,124,0.06296716510296792,0.8434394471172622,0.7420145893377741,0.37726112084299035,0.5596378550903822,14.0,133.0,103254.0,99125.0,4.16
Warrior,Arms,1,2,81,0.16825488263081134,0.7960292388371305,0.0,0.071740007395229,0.0358700036976145,,,,,
Warrior,Fury,0,5,263,0.07451538049609396,0.8717078673980622,0.660628607157578,0.5594286234316399,0.610028615294609,20.0,250.0,110203.0,109203.0,0.92
Warrior,Fury,1,5,151,0.054446726666647766,0.8795279932129767,0.8020623306674495,0.6098231193207357,0.7059427249940926,16.0,135.0,106226.0,107016.0,-0.74
